Index	Predicted	Actual
115	9	4
151	8	9
217	5	6
247	6	4
321	7	2
362	7	2
381	7	3
386	5	6
414	4	9
435	9	8
445	0	6
448	3	9
449	5	3
457	5	6
495	2	8
545	9	0
582	2	8
610	2	4
613	8	2
619	2	1
684	3	7
720	8	5
882	7	9
883	5	3
924	7	2
938	5	3
947	9	8
951	4	5
956	2	1
1014	5	6
1039	2	7
1059	9	4
1062	7	3
1112	6	4
1178	0	4
1182	5	6
1226	2	7
1242	9	4
1260	1	7
1299	7	5
1326	2	7
1328	9	7
1393	3	5
1395	3	2
1444	9	6
1469	5	3
1494	9	7
1522	9	7
1530	7	8
1531	5	3
1549	6	4
1553	3	9
1554	8	9
1609	6	2
1611	8	3
1670	9	5
1678	7	2
1681	7	3
1695	7	9
1717	0	8
1754	2	7
1790	8	2
1800	2	6
1828	9	3
1850	9	8
1878	3	8
1901	4	9
1913	8	3
1952	3	9
1982	5	6
1984	0	2
1987	9	0
2004	9	8
2016	2	7
2024	9	7
2043	8	4
2044	7	2
2070	5	7
2093	1	8
2098	0	2
2109	7	3
2130	9	4
2135	1	6
2189	1	9
2280	9	3
2293	6	9
2299	8	2
2325	2	7
2387	1	9
2406	8	9
2408	9	3
2414	4	9
2433	1	2
2454	8	6
2479	9	0
2488	4	2
2597	3	5
2610	8	2
2618	5	3
2654	1	6
2713	8	0
2721	5	6
2743	8	5
2863	4	9
2877	7	4
2921	2	3
2927	2	3
2939	5	9
2952	5	3
2953	5	3
3030	8	6
3114	6	4
3117	4	5
3172	9	4
3173	2	6
3330	8	2
3333	9	7
3383	8	6
3405	9	4
3451	9	7
3475	7	3
3503	1	9
3520	4	6
3542	2	4
3552	8	5
3558	0	5
3681	8	2
3702	9	5
3780	6	4
3796	8	2
3811	3	2
3818	4	0
3853	0	6
3893	6	5
3906	3	1
3941	2	4
3943	5	3
3985	4	9
3995	5	3
4065	2	0
4156	8	2
4176	7	2
4180	8	2
4197	2	4
4199	9	7
4211	5	6
4248	8	2
4289	7	2
4294	5	9
4415	0	2
4433	2	7
4435	7	3
4443	2	3
4497	7	8
4536	5	6
4571	8	6
4639	9	8
4731	7	8
4740	5	3
4761	7	9
4807	3	8
4814	4	6
4823	2	9
4833	2	3
4860	9	4
4880	8	0
4943	8	2
4978	7	8
4990	2	3
5140	5	3
5331	6	1
5457	8	1
5573	5	3
5642	8	1
5654	3	7
5676	3	4
5731	7	0
5734	7	3
5887	0	7
5888	9	4
5955	9	3
5973	9	3
6009	9	3
6011	9	3
6023	9	3
6030	9	3
6045	9	3
6059	9	3
6093	8	2
6174	5	3
6555	9	8
6571	7	9
6597	9	0
6621	7	0
6632	5	9
6641	5	8
6755	9	8
6759	8	4
6783	6	1
6797	7	2
6909	9	5
7216	6	0
7434	8	4
7492	7	2
7545	3	8
7849	2	3
7921	7	8
8020	8	1
8057	9	0
8059	1	2
8293	9	3
8325	6	0
8362	5	3
8408	5	8
8496	9	0
8509	4	1
8522	5	8
8527	9	4
8952	9	3
9009	2	7
9012	2	4
9015	2	7
9019	2	7
9024	2	7
9253	5	4
9280	5	8
9587	4	9
9634	1	0
9638	7	9
9664	7	2
9669	7	4
9679	3	6
9729	6	5
9745	2	4
9770	0	5
9792	7	4
9839	3	2
9855	3	2
9858	8	6
9904	0	2
9975	8	3
9982	6	5
